7J0|Japan (Shin'etsu), Guest Operators
LU[1-9]%%/X[A-O] LU[1-9]%%%/X[A-O] LW[1-9]%%/X[A-O] LW[1-9]%%%/X[A-O]|Argentina, Santa Cruz
LU[1-9]%%/X[P-Z] LU[1-9]%%%/X[P-Z] LW[1-9]%%/X[P-Z] LW[1-9]%%%/X[P-Z]|Argentina, Tierra del Fuego
LX|Luxembourg
LX0RL|Luxembourg, Official RL Station
LX[1-3]|Luxembourg, Full privilege license
LX3|Luxembourg, VHF Class
LX4 LX5 LX7 LX8 LX##|Luxembourg, Special Station
LX6|Luxembourg, Novice Station
LX6|Luxembourg, Special Station
LX9|Luxembourg, Club Station
LY## LY[05-9]|Lithuania, Special Station
UP RP UP[0-9][BP] RP[0-9][BP]|Lithuania
UP30|Lithuania, Special Station
UK2[BP] 4[JL]2[BP] E[KM-ORU-Z]2[BP]|Lithuania
R2B R2P U2B U2P UU2M|Lithuania
LZ[1-9]%|Bulgaria, Contest Station
LZ1[A-Z]% LZ[3579][A-Z]% LZ[13579][A-Z]%%|Bulgaria, South
LZ2[A-Z]% LZ[468][A-Z]% LZ[2468][A-Z]%%|Bulgaria, North
LZ[13579]K%%|Bulgaria, South, Club Station
LZ[2468]K%%|Bulgaria, North, Club Station
LZ[0-9]# LZ0|Bulgaria, Special Station
4T|Peru, Special Event Station
OA1|Peru, Piura, Tumbes, Lambayeque
OA2|Peru, Cajamarca, La Libertad
OA3|Peru, Ancash, Huanuco
OA4|Peru, Lima, Callao, Junin, Pasco
OA5|Peru, Ica, Ayacucho, Apurimac, Huancavelica
OA6|Peru, Arequipa, Moquegua, Tacna
OA7|Peru, Cuzco, Puno, Madre de Dios
OA8|Peru, Loreto, Ucayali
OA9|Peru, Amazonas, San Martin
OB1 OC1 4T1|Peru, Piura, Tumbes, Lambayeque, Special Station
OB2 OC2 4T2|Peru, Cajamarca, La Libertad, Special Station
OB3 OC3 4T3|Peru, Ancash, Huanuco, Special Station
OB4 OC4 4T4|Peru, Lima, Callao, Junin, Pasco, Special Station
OB5 OC5 4T5|Peru, Ica, Ayacucho, Apurimac, Huancavelica, Special Station
OB6 OC6 4T6|Peru, Arequipa, Moquegua, Tacna, Special Station
OB7 OC7 4T7|Peru, Cuzco, Puno, Madre de Dios, Special Station
OB8 OC8 4T8|Peru, Loreto, Ucayali, Special Station
OB9 OC9 4T9|Peru, Amazonas, San Martin, Special Station
OA0 OB0 OC0 4T0 OA## OB## OC## 4T##|Peru, Special Event and Club Station
4U(V) 4U#V 4U#VIC 4U##VIC 4U1WED 4U10NPT 4Y1A C7A|UN Austria, Vienna IARC
C7|The World Meteorological Organization (WMO) Geneva (no DXCC credit!)
4Y|The International Civil Aviation Organization (ICAO) (no DXCC credit!)
FKS8|Austria, French Troops
MB9|Austria, British Troops
H800|Austria, 800 Jahre Heidenreichstein (unofficial prefix)
90KK|Austria, 90 years of Kaiserlich/Koenigliche Armee (unofficial prefix)
OE1|Austria, Wien
OE2|Austria, Salzburg
OE3|Austria, Niederoesterreich
OE4|Austria, Burgenland
OE5|Austria, Oberoesterreich
OE6|Austria, Steiermark
OE7|Austria, Tirol
OE8|Austria, Kaernten
OE9|Austria, Vorarlberg
OE1%|Austria, Wien, Contest Station
OE2%|Austria, Salzburg, Contest Station
OE3%|Austria, Niederoesterreich, Contest Station
OE4%|Austria, Burgenland, Contest Station
OE5%|Austria, Oberoesterreich, Contest Station
OE6%|Austria, Steiermark, Contest Station
OE7%|Austria, Tirol, Contest Station
OE8%|Austria, Kaernten, Contest Station
OE9%|Austria, Vorarlberg, Contest Station
OE1X% OE1X%%|Austria, Wien, Club Station
OE2X% OE2X%%|Austria, Salzburg, Club Station
OE3X% OE3X%%|Austria, Niederoesterreich, Club Station
OE4X% OE4X%%|Austria, Burgenland, Club Station
OE5X% OE5X%%|Austria, Oberoesterreich, Club Station
OE6X% OE6X%%|Austria, Steiermark, Club Station
OE7X% OE7X%%|Austria, Tirol, Club Station
OE8X% OE8X%%|Austria, Kaernten, Club Station
OE9X% OE9X%%|Austria, Vorarlberg, Club Station
OE1Y%%|Austria, Wien, YL Operator
OE2Y%%|Austria, Salzburg, YL Operator
OE3Y%%|Austria, Niederoesterreich, YL Operator
OE4Y%%|Austria, Burgenland, YL Operator
OE5Y%%|Austria, Oberoesterreich, YL Operator
OE6Y%%|Austria, Steiermark, YL Operator
OE7Y%%|Austria, Tirol, YL Operator
OE8Y%%|Austria, Kaernten, YL Operator
OE9Y%%|Austria, Vorarlberg, YL Operator
OE1[A-WZ]% OE1[A-WZ]%%|Austria, Wien
OE2[A-WZ]% OE2[A-WZ]%%|Austria, Salzburg
OE3[A-WZ]% OE3[A-WZ]%%|Austria, Niederoesterreich
OE4[A-WZ]% OE4[A-WZ]%%|Austria, Burgenland
OE5[A-WZ]% OE5[A-WZ]%%|Austria, Oberoesterreich
OE6[A-WZ]% OE6[A-WZ]%%|Austria, Steiermark
OE7[A-WZ]% OE7[A-WZ]%%|Austria, Tirol
OE8[A-WZ]% OE8[A-WZ]%%|Austria, Kaernten
OE9[A-WZ]% OE9[A-WZ]%%|Austria, Vorarlberg
OE1[0-9] OE2[0-9] OE3[0-9] OE4[0-9] OE5[0-9]|Austria, Special Station
OE6[0-9] OE7[0-9] OE8[0-9] OE9[0-9] OE0[0-9]|Austria, Special Station
OE13|Austria, American Troops
OE##/%%% OE###/%%% OE##/%%%% OE###/%%%%|Austria, Special Station
OE50|Austria, Austrian Military Radio Society, 50th anniversary
OE3%%/SH75 OE3%%%/SH75|Austria, 75 Jahr Jubiläums der Stadterhebung von Heidenreichstein
OE0|Austria, Special Station
OH1|Finland, Turku Pori
OH2|Finland, Uusimaa
OH3|Finland, Haeme
OH4|Finland, Mikkeli
OH5|Finland, Kymi
OH6|Finland, Vaasa, Keski Suomi
OH7|Finland, Kuopio, Pohjois-Karjala
OH8|Finland, Oulu
OH9|Finland, Lappland
OF1[A-Z] OG1[A-Z] OI1[A-Z] OJ1[A-Z]|Finland, Turku Pori, Special Station
OF2[A-Z] OG2[A-Z] OI2[A-Z] OJ2[A-Z]|Finland, Uusimaa, Special Station
OF3[A-Z] OG3[A-Z] OI3[A-Z] OJ3[A-Z]|Finland, Haeme, Special Station
OF4[A-Z] OG4[A-Z] OI4[A-Z] OJ4[A-Z]|Finland, Mikkeli, Special Station
OF5[A-Z] OG5[A-Z] OI5[A-Z] OJ5[A-Z]|Finland, Kymi, Special Station
OF6[A-Z] OG6[A-Z] OI6[A-Z] OJ6[A-Z]|Finland, Vaasa, Keski Suomi, Special Station
OF7[A-Z] OG7[A-Z] OI7[A-Z] OJ7[A-Z]|Finland, Kuopio, Pohjois-Karjala, Special Station
OF8[A-Z] OG8[A-Z] OI8[A-Z] OJ8[A-Z]|Finland, Oulu, Special Station
OF9[A-Z] OG9[A-Z] OI9[A-Z] OJ9[A-Z]|Finland, Lappland, Special Station
OI1A% OI1A%%|Finland, Turku Pori, Military Club
OI2A% OI2H% OI2A%% OI2H%%|Finland, Uusimaa, Military Club
OI3A% OI3A%%|Finland, Haeme, Military Club
OI4A% OI4A%%|Finland, Mikkeli, Military Club
OI5A% OI5A%%|Finland, Kymi, Military Club
OI6A% OI6A%%|Finland, Vaasa, Keski Suomi, Military Club
OI7A% OI7A%%|Finland, Kuopio, Pohjois Karj., Military Club
OI8A% OI8A%%|Finland, Oulu, Military Club
OI9A% OI9A%%|Finland, Lappland, Military Club
O[F-J][1-9]#|Finland, Special Station
OJ[1-8]%|Finland, WRTC 2002 Station
OF0 OG0 OI0|Aland Islands, Special Station
OK|Czech Republic
OK#K%% OK#O%% OK#R%%|Czech Republic, Club Station
OK0|Czech Republic, Special & PTT Station
OK1|Czech Republic, Bohemia
OK1K%% OK1O%% OK1R%%|Czech Republic, Bohemia, Club Station
OK2|Czech Republic, Morava & Silesia
OK2K%% OK2O%% OK2R%%|Czech Republic, Morava & Silesia, Club Station
OK8|Czech Republic, Guest Operators
OK9|Czech Republic, Novice Stations
OK9|Czech Republic, Test Stations
OK[5-7]%% OK[5-7]%%% OK##|Czech Republic, Special Station
OK1[A-Z]% OK1[A-JL-NPQS-Z]%% OK[2-7][A-Z]% OK[2-7][A-JL-NPQS-Z]%%|Czech Republic, Full License
OK[1-467]K%% OK[1-467]O%% OK[1-467]R%%|Czech Republic, Club Station
OK5%%% OK##% OL##% OK##%% OL##%% OK##%%% OL##%%% OK#%%%% OL#%%%%|Czech Republic, Special Station
OK[1-7]%|Czech Rep., Special & Contest Station
OL[0-9]%|Czech Rep., Contest Station
OL[0-9]%% OL[0-9]%%%|Czech Rep., Special Station
OM0[A-Z]|Slovakia, Presov, Bardejov, Contest Station
OM1[A-Z]|Slovakia, Bratislava, Contest Station
OM2[A-Z]|Slovakia, Bratislava vidiek, Contest Station
OM3[A-Z]|Slovakia, (Not specified, older prefix), Contest Station
OM4[A-Z]|Slovakia, Trencin, Prievidza, Contest Station
OM5[A-Z]|Slovakia, Nitra, Nove Zamky, Contest Station
OM6[A-Z]|Slovakia, Zilina, Cadca, Martin, Contest Station
OM7[A-Z]|Slovakia, Banska Bystrica, Contest Station
OM8[A-Z]|Slovakia, Kosice, Poprad, Contest Station
OM0[A-Z]% OM0[A-JL-QS-Z]%%|Slovakia, Presov, Bardejov
OM1[A-Z]% OM1[A-JL-QS-Z]%%|Slovakia, Bratislava
OM2[A-Z]% OM2[A-JL-QS-Z]%%|Slovakia, Bratislava vidiek
OM3[A-Z]% OM3[A-JL-QS-Z]%%|Slovakia, (Not specified, older prefix)
OM4[A-Z]% OM4[A-JL-QS-Z]%%|Slovakia, Trencin, Prievidza
OM5[A-Z]% OM5[A-JL-QS-Z]%%|Slovakia, Nitra, Nove Zamky
OM6[A-Z]% OM6[A-JL-QS-Z]%%|Slovakia, Zilina, Cadca, Martin
OM7[A-Z]% OM7[A-JL-QS-Z]%%|Slovakia, Banska Bystrica
OM8[A-Z]% OM8[A-JL-QS-Z]%%|Slovakia, Kosice, Poprad
OM0K%% OM0R%%|Slovakia, Presov, Bardejov, Club Station
OM1K%% OM1R%%|Slovakia, Bratislava, Club Station
OM2K%% OM2R%%|Slovakia, Bratislava vidiek, Club Station
OM3K%% OM3R%%|Slovakia, (Not specified, older prefix), Club Station
OM4K%% OM4R%%|Slovakia, Trencin, Prievidza, Club Station
OM5K%% OM5R%%|Slovakia, Nitra, Nove Zamky, Club Station
OM6K%% OM6R%%|Slovakia, Zilina, Cadca, Martin, Club Station
OM7K%% OM7R%%|Slovakia, Banska Bystrica, Club Station
OM8K%% OM8R%%|Slovakia, Kosice, Poprad, Club Station
OM9% OM9%% OM9%%%%|Slovakia, Special Station
OM9%%%|Slovakia, Guest operators
OM##% OM### OM##%% OM##%%% OM##%%%%|Slovakia, Special Station
KG1|Greenland (Kalaallit Nunaat)
OX OX# XP#|Greenland (Kalaallit Nunaat)
OU OV 5P 5Q OZ##|Denmark, Special Station
OW|Faeroe Islands, Special Station
P41 P42|Netherlands Antilles
P47|Sint Maarten
PI5[0-9] P[A-I]##% P[A-I]##%% P[A-I]##%%% P[A-I]#%%%%|Netherlands, Special Station
PA0|Netherlands, HF
PA6|Netherlands, Special & Contest Station
PA|Netherlands, HF
PB|Netherlands, Intermediate License
PC|Netherlands, Special Station
PD PE|Netherlands, VHF
PF PG|Netherlands, Special Station
PD#[A-Z] PD#[A-Z]% PD#[A-Z]%%|Netherlands, Novice License
PI1 PI4 PI8 PI9|Netherlands, Club Station
PI5|Netherlands, PTT Club Station
PA[0-57-9][A-Z] PA[0-57-9][A-Z]% PA[0-57-9][A-Z]%% P[BC-EFGH]#[A-Z] P[BC-EFGH]#[A-Z]% P[BC-EFGH]#[A-Z]%%|Netherlands, Full License
PJ0 PJ1|Netherlands Antilles, Curacao, Special or Contest Station
PJ2|Netherlands Antilles, Curacao
PJ3|Aruba
PJ4|Netherlands Antilles, Bonaire
PJ9|Netherlands Antilles, Curacao, Guest Operator
PJ5|Sint Eustatius
PJ5|Sint Eustatius
PJ6|Saba Isl.
PJ8|Sint Maarten, Guest Operators
Z[V-Z]#Z Z[V-Z]##|Brazil, Special or Contest Station
PX[1-9]% PX#|Brazil, Special or Contest Station
PO[1-9]% PP[1-9]% PQ[1-9]% PR[1-9]% PS[1-9]% PT[1-9]% PU[1-9]% PV[1-9]% PW[1-79]% PY[1-9]%|Brazil, Special or Contest Station
PP1/%%%%%% PP1/%%%%% PP1/%%%%|Brazil, Espirito Santo (ES), Guest Operators
PP2/%%%%%% PP2/%%%%% PP2/%%%%|Brazil, Goias (GO), Guest Operators
PP5/%%%%%% PP5/%%%%% PP5/%%%%|Brazil, Santa Catarina (SC), Guest Operators
PP6/%%%%%% PP6/%%%%% PP6/%%%%|Brazil, Sergipe (SE), Guest Operators
PP7/%%%%%% PP7/%%%%% PP7/%%%%|Brazil, Alagoas (AL), Guest Operators
PP8/%%%%%% PP8/%%%%% PP8/%%%%|Brazil, Amazonas (AM), Guest Operators
PQ2/%%%%%% PQ2/%%%%% PQ2/%%%%|Brazil, Tocantins (TO), Guest Operators
PQ8/%%%%%% PQ8/%%%%% PQ8/%%%%|Brazil, Amapa (AP), Guest Operators
PR7/%%%%%% PR7/%%%%% PR7/%%%%|Brazil, Paraiba (PB), Guest Operators
PR8/%%%%%% PR8/%%%%% PR8/%%%%|Brazil, Maranhao (MA), Guest Operators
PS7/%%%%%% PS7/%%%%% PS7/%%%%|Brazil, Rio Grande do Norte (RN), Guest Operators
PS8/%%%%%% PS8/%%%%% PS8/%%%%|Brazil, Piaui (PI), Guest Operators
PT2/%%%%%% PT2/%%%%% PT2/%%%%|Brazil, Distrito Federal (DF), Guest Operators
PT7/%%%%%% PT7/%%%%% PT7/%%%%|Brazil, Ceara (CE), Guest Operators
PT8/%%%%%% PT8/%%%%% PT8/%%%%|Brazil, Acre (AC), Guest Operators
PT9/%%%%%% PT9/%%%%% PT9/%%%%|Brazil, Mato Grosso do Sul (MS), Guest Operators
PV8/%%%%%% PV8/%%%%% PV8/%%%%|Brazil, Roraima (RR), Guest Operators
PW8/%%%%%% PW8/%%%%% PW8/%%%%|Brazil, Rondonia (RO), Guest Operators
PY1/%%%%%% PY1/%%%%% PY1/%%%%|Brazil, Rio de Janeiro (RJ), Guest Operators
PY2/%%%%%% PY2/%%%%% PY2/%%%%|Brazil, Sao Paulo (SP), Guest Operators
PY3/%%%%%% PY3/%%%%% PY3/%%%%|Brazil, Rio Grande do Sul (RS), Guest Operators
PY4/%%%%%% PY4/%%%%% PY4/%%%%|Brazil, Minas Gerais (MG), Guest Operators
PY5/%%%%%% PY5/%%%%% PY5/%%%%|Brazil, Parana (PR), Guest Operators
PY6/%%%%%% PY6/%%%%% PY6/%%%%|Brazil, Bahia (BA), Guest Operators
PY7/%%%%%% PY7/%%%%% PY7/%%%%|Brazil, Pernambuco (PE), Guest Operators
PY8/%%%%%% PY8/%%%%% PY8/%%%%|Brazil, Para (PA), Guest Operators
PY9/%%%%%% PY9/%%%%% PY9/%%%%|Brazil, Mato Grosso (MT), Guest Operators
PP1%% PP1%%%|Brazil, Espirito Santo (ES), Class A and B
PP2%% PP2%%%|Brazil, Goias (GO), Class A and B
PP5%% PP5%%%|Brazil, Santa Catarina (SC), Class A and B
PP6%% PP6%%%|Brazil, Sergipe (SE), Class A and B
PP7%% PP7%%%|Brazil, Alagoas (AL), Class A and B
PP8%% PP8%%%|Brazil, Amazonas (AM), Class A and B
PQ2%% PQ2%%%|Brazil, Tocantins (TO), Class A and B
PQ8%% PQ8%%%|Brazil, Amapa (AP), Class A and B
PR7%% PR7%%%|Brazil, Paraiba (PB), Class A and B
PR8%% PR8%%%|Brazil, Maranhao (MA), Class A and B
PS7%% PS7%%%|Brazil, Rio Grande do Norte (RN), Class A and B
PS8%% PS8%%%|Brazil, Piaui (PI), Class A and B
PT2%% PT2%%%|Brazil, Distrito Federal (DF), Class A and B
PT7%% PT7%%%|Brazil, Ceara (CE), Class A and B
PT8%% PT8%%%|Brazil, Acre (AC), Class A and B
PT9%% PT9%%%|Brazil, Mato Grosso do Sul (MS), Class A and B
PV8%% PV8%%%|Brazil, Roraima (RR), Class A and B
PW8%% PW8%%%|Brazil, Rondonia (RO), Class A and B
PY1%% PY1%%%|Brazil, Rio de Janeiro (RJ), Class A and B
PY2%% PY2%%%|Brazil, Sao Paulo (SP), Class A and B
PY3%% PY3%%%|Brazil, Rio Grande do Sul (RS), Class A and B
PY4%% PY4%%%|Brazil, Minas Gerais (MG), Class A and B
PY5%% PY5%%%|Brazil, Parana (PR), Class A and B
PY6%% PY6%%%|Brazil, Bahia (BA), Class A and B
PY7%% PY7%%%|Brazil, Pernambuco (PE), Class A and B
PY8%% PY8%%%|Brazil, Para (PA), Class A and B
PY9%% PY9%%%|Brazil, Mato Grosso (MT), Class A and B
PP1Z%%|Brazil, Espirito Santo (ES), Guest Operators
PP2Z%%|Brazil, Goias (GO), Guest Operators
PP5Z%%|Brazil, Santa Catarina (SC), Guest Operators
PP6Z%%|Brazil, Sergipe (SE), Guest Operators
PP7Z%%|Brazil, Alagoas (AL), Guest Operators
PP8Z%%|Brazil, Amazonas (AM), Guest Operators
PQ2Z%%|Brazil, Tocantins (TO), Guest Operators
PQ8Z%%|Brazil, Amapa (AP), Guest Operators
PR7Z%%|Brazil, Paraiba (PB), Guest Operators
PR8Z%%|Brazil, Maranhao (MA), Guest Operators
PS7Z%%|Brazil, Rio Grande do Norte (RN), Guest Operators
PS8Z%%|Brazil, Piaui (PI), Guest Operators
PT2Z%%|Brazil, Distrito Federal (DF), Guest Operators
PT7Z%%|Brazil, Ceara (CE), Guest Operators
PT8Z%%|Brazil, Acre (AC), Guest Operators
PT9Z%%|Brazil, Mato Grosso do Sul (MS), Guest Operators
PV8Z%%|Brazil, Roraima (RR), Guest Operators
PW8Z%%|Brazil, Rondonia (RO), Guest Operators
PY1Z%%|Brazil, Rio de Janeiro (RJ), Guest Operators
PY2Z%%|Brazil, Sao Paulo (SP), Guest Operators
PY3Z%%|Brazil, Rio Grande do Sul (RS), Guest Operators
PY4Z%%|Brazil, Minas Gerais (MG), Guest Operators
PY5Z%%|Brazil, Parana (PR), Guest Operators
PY6Z%%|Brazil, Bahia (BA), Guest Operators
PY7Z%%|Brazil, Pernambuco (PE), Guest Operators
PY8Z%%|Brazil, Para (PA), Guest Operators
PY9Z%%|Brazil, Mato Grosso (MT), Guest Operators
PU1[A-I]%%|Brazil, Espirito Santo (ES), Class C
PU1[J-Y]%%|Brazil, Rio de Janeiro (RJ), Class C
PU2[A-E]%%|Brazil, Distrito Federal (DF), Class C
PU2[F-H]%%|Brazil, Goias (GO), Class C
PU2[I-J]%%|Brazil, Tocantins (TO), Class C
PU2[K-Y]%%|Brazil, Sao Paulo (SP), Class C
PU3[A-Y]%%|Brazil, Rio Grande do Sul (RS), Class C
PU4[A-Y]%%|Brazil, Minas Gerais (MG), Class C
PU5[A-L]%%|Brazil, Santa Catarina (SC), Class C
PU5[M-Y]%%|Brazil, Parana (PR), Class C
PU6[A-I]%%|Brazil, Sergipe (SE), Class C
PU6[J-Y]%%|Brazil, Bahia (BA), Class C
PU7[A-D]%%|Brazil, Alagoas (AL), Class C
PU7[E-H]%%|Brazil, Paraiba (PB), Class C
PU7[I-L]%%|Brazil, Rio Grande do Norte (RN), Class C
PU7[M-P]%%|Brazil, Ceara (CE), Class C
PU7[R-Y]%%|Brazil, Pernambuco (PE), Class C
PU8[A-C]%%|Brazil, Amazonas (AM), Class C
PU8[D-F]%%|Brazil, Rondonia (RO), Class C
PU8[G-I]%%|Brazil, Amapa (AP), Class C
PU8[J-L]%%|Brazil, Acre (AC), Class C
PU8[M-O]%%|Brazil, Maranhao (MA), Class C
PU8[P-S]%%|Brazil, Piaui (PI), Class C
PU8[T-V]%%|Brazil, Roraima (RR), Class C
PU8[W-Y]%%|Brazil, Para (PA), Class C
PU9[A-N]%%|Brazil, Mato Grosso do Sul (MS), Class C
PU9[O-Y]%%|Brazil, Mato Grosso (MT), Class C
P[QRSTVWX]1[A-I] Z[V-Y]1[A-I]|Brazil, Espirito Santo (ES), Special or Contest Station, Special or Contest Station
P[QRSTVWX]1[J-Y] Z[V-Y]1[J-Y]|Brazil, Rio de Janeiro (RJ), Special or Contest Station
P[QRSTVWX]1[A-E] Z[V-Y]2[A-E]|Brazil, Distrito Federal (DF), Special or Contest Station
P[QRSTVWX]1[F-H] Z[V-Y]2[F-H]|Brazil, Goias (GO), Special or Contest Station
P[QRSTVWX]1[I-J] Z[V-Y]2[I-J]|Brazil, Tocantins (TO), Special or Contest Station
P[QRSTVWX]1[K-Y] Z[V-Y]2[K-Y]|Brazil, Sao Paulo (SP), Special or Contest Station
P[QRSTVWX]1[A-Y] Z[V-Y]3[A-Y]|Brazil, Rio Grande do Sul (RS), Special or Contest Station
P[QRSTVWX]1[A-Y] Z[V-Y]4[A-Y]|Brazil, Minas Gerais (MG), Special or Contest Station
P[QRSTVWX]1[A-L] Z[V-Y]5[A-L]|Brazil, Santa Catarina (SC), Special or Contest Station
P[QRSTVWX]1[M-Y] Z[V-Y]5[M-Y]|Brazil, Parana (PR), Special or Contest Station
P[QRSTVWX]1[A-I] Z[V-Y]6[A-I]|Brazil, Sergipe (SE), Special or Contest Station
P[QRSTVWX]1[J-Y] Z[V-Y]6[J-Y]|Brazil, Bahia (BA), Special or Contest Station
P[QRSTVWX]1[A-D] Z[V-Y]7[A-D]|Brazil, Alagoas (AL), Special or Contest Station
P[QRSTVWX]1[E-H] Z[V-Y]7[E-H]|Brazil, Paraiba (PB), Special or Contest Station
P[QRSTVWX]1[I-L] Z[V-Y]7[I-L]|Brazil, Rio Grande do Norte (RN), Special or Contest Station
P[QRSTVWX]1[M-P] Z[V-Y]7[M-P]|Brazil, Ceara (CE), Special or Contest Station
P[QRSTVWX]1[R-Y] Z[V-Y]7[R-Y]|Brazil, Pernambuco (PE), Special or Contest Station
P[QRSTVWX]1[A-C] Z[V-Y]8[A-C]|Brazil, Amazonas (AM), Special or Contest Station
P[QRSTVWX]1[D-F] Z[V-Y]8[D-F]|Brazil, Rondonia (RO), Special or Contest Station
P[QRSTVWX]1[G-I] Z[V-Y]8[G-I]|Brazil, Amapa (AP), Special or Contest Station
P[QRSTVWX]1[J-L] Z[V-Y]8[J-L]|Brazil, Acre (AC), Special or Contest Station
P[QRSTVWX]1[M-O] Z[V-Y]8[M-O]|Brazil, Maranhao (MA), Special or Contest Station
P[QRSTVWX]1[P-S] Z[V-Y]8[P-S]|Brazil, Piaui (PI), Special or Contest Station
P[QRSTVWX]1[T-V] Z[V-Y]8[T-V]|Brazil, Roraima (RR), Special or Contest Station
P[QRSTVWX]1[W-Y] Z[V-Y]8[W-Y]|Brazil, Para (PA), Special or Contest Station
P[QRSTVWX]1[A-N] Z[V-Y]9[A-N]|Brazil, Mato Grosso do Sul (MS), Special or Contest Station
P[QRSTVWX]1[O-Y] Z[V-Y]9[O-Y]|Brazil, Mato Grosso (MT), Special or Contest Station
PX1[A-I]|Brazil, Espirito Santo (ES), Special or Contest Station, Special or Contest Station
PX1[J-Y]|Brazil, Rio de Janeiro (RJ), Special or Contest Station
PX1[A-E]|Brazil, Distrito Federal (DF), Special or Contest Station
PX1[F-H]|Brazil, Goias (GO), Special or Contest Station
PX1[I-J]|Brazil, Tocantins (TO), Special or Contest Station
PX1[K-Y]|Brazil, Sao Paulo (SP), Special or Contest Station
PX1[A-Y]|Brazil, Rio Grande do Sul (RS), Special or Contest Station
PX1[A-Y]|Brazil, Minas Gerais (MG), Special or Contest Station
PX1[A-L]|Brazil, Santa Catarina (SC), Special or Contest Station
PX1[M-Y]|Brazil, Parana (PR), Special or Contest Station
PX1[A-I]|Brazil, Sergipe (SE), Special or Contest Station
PX1[J-Y]|Brazil, Bahia (BA), Special or Contest Station
PX1[A-D]|Brazil, Alagoas (AL), Special or Contest Station
PX1[E-H]|Brazil, Paraiba (PB), Special or Contest Station
PX1[I-L]|Brazil, Rio Grande do Norte (RN), Special or Contest Station
PX1[M-P]|Brazil, Ceara (CE), Special or Contest Station
PX1[R-Y]|Brazil, Pernambuco (PE), Special or Contest Station
PX1[A-C]|Brazil, Amazonas (AM), Special or Contest Station
PX1[D-F]|Brazil, Rondonia (RO), Special or Contest Station
PX1[G-I]|Brazil, Amapa (AP), Special or Contest Station
PX1[J-L]|Brazil, Acre (AC), Special or Contest Station
PX1[M-O]|Brazil, Maranhao (MA), Special or Contest Station
PX1[P-S]|Brazil, Piaui (PI), Special or Contest Station
PX1[T-V]|Brazil, Roraima (RR), Special or Contest Station
PX1[W-Y]|Brazil, Para (PA), Special or Contest Station
PX1[A-N]|Brazil, Mato Grosso do Sul (MS), Special or Contest Station
PX1[O-Y]|Brazil, Mato Grosso (MT), Special or Contest Station
ZZ1%|Brazil, ES-RJ, Special or Contest Station
ZZ2%|Brazil, DF-GO-SP-TO, Special or Contest Station
ZZ3%|Brazil, Rio Grande do Sul (RS), Special or Contest Station
ZZ4%|Brazil, Minas Gerais (MG), Special or Contest Station
ZZ5%|Brazil, PR-SC, Special or Contest Station
ZZ6%|Brazil, BA-SE, Special or Contest Station
ZZ7%|Brazil, AL-CE-PB-PE-RN, Special or Contest Station
ZZ8%|Brazil, AC-AM-AP-MA-PA-PI-RO-RR, Special or Contest Station
ZZ9%|Brazil, MS-MT, Special or Contest Station
ZZ1[A-I]%|Brazil, Espirito Santo (ES), Special or Contest Station
ZZ1[J-Y]%|Brazil, Rio de Janeiro (RJ), Special or Contest Station
ZZ2[A-E]%|Brazil, Distrito Federal (DF), Special or Contest Station
ZZ2[F-H]%|Brazil, Goias (GO), Special or Contest Station
ZZ2[I-J]%|Brazil, Tocantins (TO), Special or Contest Station
ZZ2[K-Y]%|Brazil, Sao Paulo (SP), Special or Contest Station
ZZ3[A-Y]%|Brazil, Rio Grande do Sul (RS), Special or Contest Station
ZZ4[A-Y]%|Brazil, Minas Gerais (MG), Special or Contest Station
ZZ5[A-L]%|Brazil, Santa Catarina (SC), Special or Contest Station
ZZ5[M-Y]%|Brazil, Parana (PR), Special or Contest Station
ZZ6[A-I]%|Brazil, Sergipe (SE), Special or Contest Station
ZZ6[J-Y]%|Brazil, Bahia (BA), Special or Contest Station
ZZ7[A-D]%|Brazil, Alagoas (AL), Special or Contest Station
ZZ7[E-H]%|Brazil, Paraiba (PB), Special or Contest Station
ZZ7[I-L]%|Brazil, Rio Grande do Norte (RN), Special or Contest Station
ZZ7[M-P]%|Brazil, Ceara (CE), Special or Contest Station
ZZ7[R-Y]%|Brazil, Pernambuco (PE), Special or Contest Station
ZZ8[A-C]%|Brazil, Amazonas (AM), Special or Contest Station
ZZ8[D-F]%|Brazil, Rondonia (RO), Special or Contest Station
ZZ8[G-I]%|Brazil, Amapa (AP), Special or Contest Station
ZZ8[J-L]%|Brazil, Acre (AC), Special or Contest Station
ZZ8[M-O]%|Brazil, Maranhao (MA), Special or Contest Station
ZZ8[P-S]%|Brazil, Piaui (PI), Special or Contest Station
ZZ8[T-V]%|Brazil, Roraima (RR), Special or Contest Station
ZZ8[W-Y]%|Brazil, Para (PA), Special or Contest Station
ZZ9[A-N]%|Brazil, Mato Grosso do Sul (MS), Special or Contest Station
ZZ9[O-Y]%|Brazil, Mato Grosso (MT), Special or Contest Station
ZZ1[A-I]%%|Brazil, Espirito Santo (ES), Class D (VHF)
ZZ1[J-Y]%%|Brazil, Rio de Janeiro (RJ), Class D (VHF)
ZZ2[A-E]%%|Brazil, Distrito Federal (DF), Class D (VHF)
ZZ2[F-H]%%|Brazil, Goias (GO), Class D (VHF)
ZZ2[I-J]%%|Brazil, Tocantins (TO), Class D (VHF)
ZZ2[K-Y]%%|Brazil, Sao Paulo (SP), Class D (VHF)
